LebwohlLasher.py: Size: 50, Steps: 50, Exp. reps: 1, T*: 0.500: Order: 0.427, Mean ratio : 0.466, Time: 2.821494 s ± 0.000000 s
         1445791 function calls (1430277 primitive calls) in 3.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 dviread.py:1(<module>)
      604    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       20    0.000    0.000    0.002    0.000 core.py:5040(parseImpl)
      151    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
      605    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
     6507    0.001    0.000    0.002    0.000 enum.py:1129(__new__)
      169    0.001    0.000    0.002    0.000 colors.py:322(_to_rgba_no_colorcycle)
    45/12    0.000    0.000    0.001    0.000 typing.py:1326(_determine_new_args)
        1    0.000    0.000    0.001    0.001 _char_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        2    0.000    0.000    0.001    0.001 core.py:5932(srange)
      255    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
      369    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       39    0.000    0.000    0.001    0.000 typing.py:521(__getitem__)
      350    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    45/12    0.000    0.000    0.001    0.000 typing.py:1355(_make_substitution)
      719    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      597    0.000    0.000    0.001    0.000 __init__.py:164(match)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
      691    0.001    0.000    0.001    0.000 inspect.py:176(get_annotations)
       39    0.000    0.000    0.001    0.000 typing.py:753(Literal)
     12/6    0.000    0.000    0.001    0.000 functools.py:977(__get__)
       86    0.000    0.000    0.001    0.000 core.py:3717(__init__)
  273/173    0.000    0.000    0.001    0.000 core.py:1908(name)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
        6    0.000    0.000    0.001    0.000 core.py:3055(re_match)
        8    0.001    0.000    0.001    0.000 enum.py:1708(convert_class)
      259    0.001    0.000    0.001    0.000 typing.py:262(_collect_parameters)
      768    0.001    0.000    0.001    0.000 inspect.py:754(unwrap)
        6    0.000    0.000    0.001    0.000 core.py:3045(re)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
     2051    0.001    0.000    0.001    0.000 typing.py:1161(_is_dunder)
     5930    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     9402    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      245    0.001    0.000    0.001    0.000 core.py:461(__init__)
  215/118    0.000    0.000    0.001    0.000 core.py:1878(default_name)
      443    0.000    0.000    0.001    0.000 __init__.py:179(sub)
      100    0.000    0.000    0.001    0.000 fromnumeric.py:2979(prod)
       51    0.000    0.000    0.001    0.000 linalg.py:215(_assert_finite)
       42    0.000    0.000    0.001    0.000 deprecation.py:131(deprecate)
       32    0.000    0.000    0.001    0.000 colors.py:416(to_rgba_array)
      410    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
       67    0.001    0.000    0.001    0.000 colors.py:1102(reversed)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      351    0.000    0.000    0.001    0.000 inspect.py:791(_findclass)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _typing.py:1(<module>)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
       51    0.001    0.000    0.001    0.000 shape_base.py:219(vstack)
     6479    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     2690    0.001    0.000    0.001    0.000 _parser.py:176(append)
       12    0.000    0.000    0.001    0.000 dataclasses.py:449(_create_fn)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
       51    0.001    0.000    0.001    0.000 numeric.py:67(zeros_like)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      461    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
