LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.806, Mean ratio : 0.410, Time: 3.863962 s ± 0.000000 s
         9130968 function calls (8727914 primitive calls) in 12.694 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1390    0.002    0.000    0.093    0.000 inspect.py:3339(signature)
      194    0.003    0.000    0.093    0.000 cgutils.py:99(__init__)
     1390    0.002    0.000    0.091    0.000 inspect.py:3077(from_callable)
2513/2241    0.005    0.000    0.090    0.000 ir_utils.py:1542(guard)
1529/1391    0.014    0.000    0.089    0.000 inspect.py:2497(_signature_from_callable)
      698    0.003    0.000    0.089    0.000 builder.py:297(if_then)
     2073    0.002    0.000    0.088    0.000 errors.py:243(__init__)
        1    0.000    0.000    0.088    0.088 rules.py:1(<module>)
        1    0.000    0.000    0.088    0.088 arraymath.py:1(<module>)
      420    0.005    0.000    0.088    0.000 context.py:744(load_additional_registries)
       12    0.000    0.000    0.088    0.007 arrayobj.py:497(getitem_array_tuple)
        1    0.000    0.000    0.087    0.087 rules.py:15(_init_casting_rules)
      365    0.003    0.000    0.086    0.000 _itertools.py:4(unique_everseen)
    19773    0.016    0.000    0.086    0.000 values.py:557(_set_name)
       46    0.000    0.000    0.086    0.002 castgraph.py:119(insert_rule)
     2073    0.006    0.000    0.086    0.000 initialise.py:37(init)
      266    0.001    0.000    0.086    0.000 templates.py:899(_get_target_registry)
      916    0.003    0.000    0.085    0.000 lowering.py:1506(delvar)
       46    0.017    0.000    0.084    0.002 castgraph.py:92(propagate)
90772/88815    0.033    0.000    0.082    0.000 {built-in method builtins.repr}
       37    0.000    0.000    0.081    0.002 codegen.py:1412(_add_module)
       37    0.000    0.000    0.081    0.002 codegen.py:1094(add_module)
     4146    0.009    0.000    0.080    0.000 initialise.py:111(wrap_stream)
49328/42056    0.047    0.000    0.079    0.000 abstract.py:121(__hash__)
     1013    0.005    0.000    0.079    0.000 lowering.py:1562(decref)
       17    0.000    0.000    0.079    0.005 arrayobj.py:375(basic_indexing)
      246    0.000    0.000    0.078    0.000 templates.py:1046(__init__)
     2803    0.005    0.000    0.078    0.000 value.py:157(name)
        1    0.000    0.000    0.078    0.078 arraymath.py:32(_check_blas)
        1    0.000    0.000    0.078    0.078 linalg.py:55(ensure_blas)
       37    0.002    0.000    0.077    0.002 codegen.py:1087(_load_defined_symbols)
      239    0.001    0.000    0.076    0.000 templates.py:1092(_init_once)
      166    0.000    0.000    0.076    0.000 ir.py:1542(infer_constant)
  251/166    0.001    0.000    0.075    0.000 consts.py:24(infer_constant)
       13    0.000    0.000    0.075    0.006 arrayobj.py:459(_getitem_array_generic)
     2000    0.037    0.000    0.074    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       50    0.000    0.000    0.073    0.001 pprint.py:473(_pprint_default_dict)
  226/153    0.001    0.000    0.073    0.000 consts.py:56(_do_infer)
      108    0.001    0.000    0.073    0.001 postproc.py:158(_insert_var_dels)
      826    0.003    0.000    0.072    0.000 builder.py:568(_icmp)
       78    0.001    0.000    0.072    0.001 arrayobj.py:77(_make_refs)
      108    0.019    0.000    0.072    0.001 postproc.py:179(_patch_var_dels)
        2    0.000    0.000    0.071    0.036 builtins.py:1(<module>)
    64822    0.043    0.000    0.071    0.000 targetconfig.py:111(getter)
    19773    0.019    0.000    0.071    0.000 _utils.py:16(register)
     1031    0.001    0.000    0.070    0.000 context.py:384(decref)
     4146    0.018    0.000    0.070    0.000 ansitowin32.py:81(__init__)
       37    0.000    0.000    0.070    0.002 codegen.py:1315(_scan_and_fix_unresolved_refs)
      218    0.021    0.000    0.070    0.000 artist.py:1519(get_setters)
   119103    0.046    0.000    0.070    0.000 {method 'get' of 'dict' objects}
      409    0.001    0.000    0.070    0.000 templates.py:480(apply)
      835    0.004    0.000    0.069    0.000 instructions.py:349(__init__)
