LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.379, Mean ratio: 0.465, Time: 4.340773 s
         1540370 function calls (1524856 primitive calls) in 5.389 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      302    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      672    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _typing.py:1(<module>)
      334    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        8    0.000    0.000    0.001    0.000 colors.py:1673(make_norm_from_scale)
      125    0.000    0.000    0.001    0.000 inspect.py:3093(replace)
     3526    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     78/4    0.000    0.000    0.001    0.000 core.py:962(_parseCache)
        1    0.000    0.000    0.001    0.001 _fontconfig_pattern.py:55(_make_fontconfig_parser)
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       22    0.000    0.000    0.001    0.000 core.py:5173(parseImpl)
       39    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       51    0.000    0.000    0.001    0.000 _methods.py:61(_all)
       51    0.001    0.000    0.001    0.000 numeric.py:67(zeros_like)
 3121/738    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
        1    0.000    0.000    0.001    0.001 plistlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 layout_engine.py:1(<module>)
        1    0.000    0.000    0.001    0.001 font_manager.py:975(json_load)
